kingdom,trait,units,n,min,p10,mean,mean_ci_lower,mean_ci_upper,median,median_ci_lower,median_ci_upper,p90,max,sd,q25,q75,iqr
Bacteria,MurA,mg g^-1 biomass,444,0,1.4,17.077995495495497,15.308081081081081,18.917996621621622,10.1,7.1,11.6,38.864999999999995,106.89,19.19613272964755,3.2899999999999996,27.015,23.725
Fungi,GlcN,mg g^-1 biomass,781,0.2,9,45.63720870678617,43.05068469910371,48.32202784891165,33.68,31,37.63,92.8,301,37.48380000704203,15.7,69,53.3
