method,N,median,q25,q75,p95,p99,p995,over100_n,over100_pct,maximum,median_lo,median_hi
CF2006,1604,52.15338374291115,32.74441815417811,71.1107142857143,100.59078710644673,163.19271866761554,253.5145282871627,83,5.1745635910224435,1279.4534161490683,50.32413324269204,53.58552345108099
CF2024,1604,50.20971970839618,31.252832272757416,69.212326007326,99.6428041975068,162.54803860283494,241.45219146255187,80,4.987531172069826,1280.8710310559009,49.46903385182053,51.721519161676646
Cmass_MurAGlcN,1604,1.7784126492453256,1.0978480397496124,2.4400766650367864,3.577616585591131,5.800634924316469,8.656922965074836,0,0,45.73562732919255,1.7434987612784831,1.8315114323258874
Cmass_GlcN,1604,1.64418,1.002581801786758,2.2626028846153847,3.316442687211981,5.3946224862132786,7.360527941999937,0,0,42.62947826086957,1.6095780753743836,1.6636739596520644
