Ecosystem.type,N,Percent
Cropland,964,61.0126582278481
Forest,283,17.911392405063292
Grassland,248,15.69620253164557
forest,72,4.556962025316456
Wetland,6,0.379746835443038
Glacier,5,0.31645569620253167
Desert,2,0.12658227848101267
