Model,N,Min,Q1,Median,Q3,Max,Mean,SD
fnecC composite,50000,0.85,23.66,54.86,134.91,10197.66,134.1,258.05
fnecC trait-resolved,50000,0.72,20.62,50,127.41,8272.17,131.88,269.42
