kingdom,trait,subset,rank,threshold_rule,n_pairwise,n_significant,percent_significant,median_abs_rank_biserial,median_abs_rank_biserial_significant,maximum_abs_rank_biserial
Bacteria,MurA,all,Class,n > 20,3,2,66.66666666666667,0.85565749235474,0.8726113548730222,0.8895652173913045
Bacteria,MurA,all,Genus,n > 10,105,39,37.142857142857146,0.6720647773279351,0.9375,1
Bacteria,MurA,all,Order,n > 20,21,15,71.42857142857143,0.8531468531468531,0.9023769100169778,1
Bacteria,MurA,all,Phylum,n > 50,3,2,66.66666666666667,0.82623969045922,0.8467406504487887,0.8672416104383573
Bacteria,MurA,all,Species,n > 10,36,17,47.22222222222222,0.9848484848484849,1,1
Fungi,GlcN,all,Class,n > 20,21,14,66.66666666666667,0.43500000000000005,0.49974344845565444,0.8217021276595744
Fungi,GlcN,all,Genus,n > 10,171,62,36.25730994152047,0.6236559139784945,0.8623455730954015,1
Fungi,GlcN,all,Order,n > 20,66,36,54.54545454545455,0.4681976744186046,0.6626238641742518,0.9472868217054263
Fungi,GlcN,all,Species,n > 10,66,27,40.90909090909091,0.6845238095238095,0.9318181818181819,1
