param,S1,S1_conf,ST,ST_conf
cB,0.10400289018961849,0.0161300626323131,0.1509619753878641,0.012836170062051212
MGP,0.39936710831838507,0.033384848551931856,0.4918485622159115,0.03797960754255938
MGN,0.05346838594842923,0.017542408568015307,0.1695531634255145,0.024751375246353145
fGP,0.28312002686887794,0.03302590022423752,0.3846138388715259,0.030355514863967013
