metric,value
analysis,NF
n_base,4096
n_model_evaluations,28672
seed,1234
prop_NF_zero,0.024553571428571428
NF_min,0.0
NF_mean,12.067524506068931
NF_median,6.828490467387259
NF_sd,15.004270559969337
NF_p90,29.679236258349253
NF_p95,42.670172402433316
NF_p99,74.71995184821877
NF_p995,85.53803430098951
NF_max,139.41738432958655
