metric,value
n_base,8192.0
n_model_evaluations,98304.0
seed,1234.0
prop_GS_lt_MS,0.0015869140625
prop_molecular_C_infeasible,0.0
n_molecular_C_infeasible,0.0
raw_median,45.683825671269354
raw_p99,1166.2270811797594
raw_max,10621.871346187936
prop_raw_gt_100,0.282379150390625
n_raw_gt_100,27759.0
raw_variance,67163.31490337205
bounded_median,45.683825671269354
bounded_max,100.0
prop_at_upper_bound,0.282379150390625
bounded_variance,1312.1925162894677
variance_ratio_bounded_to_raw,0.019537339962706138
S1_rank_spearman_raw_vs_bounded,0.9030303030303028
ST_rank_spearman_raw_vs_bounded,0.9878787878787878
rB_molar_min,0.00023364148337256383
rB_molar_max,3.9998738170809345
rB_mass_min,0.00016662637653091695
rB_mass_max,2.852594800805601
