formulation,parameter,S1,S1_conf,ST,ST_conf,S1_rank,ST_rank,S_design
Trait-resolved,MS,0.000658369558710883,0.0048669420356431,0.010445479205539055,0.002981820138814458,6,5,Primary: observed S range
Trait-resolved,GS,0.09353622259146804,0.030148900679341534,0.4097920316634899,0.0611187381887671,2,2,Primary: observed S range
Trait-resolved,S,0.389563133224805,0.09795473123986251,0.8088579130344293,0.09897445931421896,1,1,Primary: observed S range
Trait-resolved,cB,0.0005537552613489491,0.001292443438401012,0.003293202422104961,0.001457611932232048,7,9,Primary: observed S range
Trait-resolved,MGP,0.0004674390022123435,0.004697445639712189,0.010051092241706718,0.003132136499719831,8,6,Primary: observed S range
Trait-resolved,MGN,-0.0013260212884232247,0.0025229865536872944,0.0026197098630557124,0.0008888540070086145,10,10,Primary: observed S range
Trait-resolved,fGP,0.0017527346713523486,0.0021692559436564795,0.00600698855892634,0.0019451982772796979,5,7,Primary: observed S range
Trait-resolved,cF,0.00794947125211408,0.005081565798892343,0.051454933253108445,0.01168734272537889,4,4,Primary: observed S range
Trait-resolved,GF,0.06377151745164529,0.01932829606102132,0.34680191288871615,0.07056913012957493,3,3,Primary: observed S range
Trait-resolved,rB,-6.0651871122953787e-05,0.0026989552329339805,0.0042658772371485035,0.001079399729645549,9,8,Primary: observed S range
Trait-resolved,MS,0.0046872699058816926,0.0038961674157491927,0.0148126291339057,0.0020831626393336923,5,5,Robustness: S P10-P90
Trait-resolved,GS,0.22336149394260724,0.028103675684092937,0.48786820172871564,0.04124667315104598,2,1,Robustness: S P10-P90
Trait-resolved,S,0.2244053969800741,0.03134562175762761,0.44034973730492327,0.043730581204863665,1,2,Robustness: S P10-P90
Trait-resolved,cB,0.0014786740717463924,0.0016851857693369174,0.004049700257195452,0.0010357156454595224,9,10,Robustness: S P10-P90
Trait-resolved,MGP,0.004143623163518785,0.003069344574212858,0.011817747889264887,0.0017544799381542034,7,6,Robustness: S P10-P90
Trait-resolved,MGN,-7.178059338290276e-05,0.001694093488952699,0.004204377366960265,0.0010601963676420095,10,9,Robustness: S P10-P90
Trait-resolved,fGP,0.004281906677351698,0.0027303215854516455,0.009291231980463922,0.0020542897182469658,6,7,Robustness: S P10-P90
Trait-resolved,cF,0.020660630699017985,0.007098743288467423,0.06478704679924094,0.006208226614926291,4,4,Robustness: S P10-P90
Trait-resolved,GF,0.16531506701341492,0.021779330338027144,0.42239014927210067,0.04906502374238809,3,3,Robustness: S P10-P90
Trait-resolved,rB,0.0031502521392992684,0.0024641875422162013,0.005813084631024839,0.0009619232897489948,8,8,Robustness: S P10-P90
