param,S1,S1_conf,ST,ST_conf
MS,0.02762957674348782,0.010039117795983654,0.05750799520228145,0.011213544639868218
GS,0.3753099818246903,0.04030252607929107,0.611450530308976,0.05434893427796657
cF,0.02997713117528678,0.012764880104720261,0.07930057298508761,0.009633579672997926
GF,0.28362759572134877,0.033012028527575926,0.5140038018155657,0.047478218209318385
rB,0.007627108936168944,0.006775130190385969,0.02009355457854916,0.005216426367403435
