formulation,parameter,S1_primary,S1_conf_primary,S1_rank_primary,ST_primary,ST_conf_primary,ST_rank_primary,S1_S_P10_P90,S1_conf_S_P10_P90,S1_rank_S_P10_P90,ST_S_P10_P90,ST_conf_S_P10_P90,ST_rank_S_P10_P90,ST_change,S1_change
Composite,GS,0.09899684057747163,0.02515866471403486,2,0.37222547121640454,0.06740100849525742,2,0.26110565751503123,0.038416273748461044,2,0.4721544023781189,0.04536284090349301,2,0.09992893116171436,0.1621088169375596
Composite,S,0.5317203073369797,0.09298101811223981,1,0.8866924567017581,0.10428764260669651,1,0.30371916929915377,0.03518855209000076,1,0.504178430767184,0.049053484718111176,1,-0.38251402593457406,-0.22800113803782596
Composite,CFF,0.05675566497315913,0.01632637848159143,3,0.21976573201847704,0.03429144956200618,3,0.15470862095330265,0.022406447508686617,3,0.3080752677726422,0.034640416560845204,3,0.08830953575416517,0.09795295598014353
Trait-resolved,GS,0.09353622259146804,0.030148900679341534,2,0.4097920316634899,0.0611187381887671,2,0.22336149394260724,0.028103675684092937,2,0.48786820172871564,0.04124667315104598,1,0.07807617006522577,0.1298252713511392
Trait-resolved,S,0.389563133224805,0.09795473123986251,1,0.8088579130344293,0.09897445931421896,1,0.2244053969800741,0.03134562175762761,1,0.44034973730492327,0.043730581204863665,2,-0.36850817572950606,-0.1651577362447309
Trait-resolved,GF,0.06377151745164529,0.01932829606102132,3,0.34680191288871615,0.07056913012957493,3,0.16531506701341492,0.021779330338027144,3,0.42239014927210067,0.04906502374238809,3,0.07558823638338452,0.10154354956176963
