formulation,param,S1_raw,S1_raw_conf,S1_bounded,S1_bounded_conf,S1_change_bounded_minus_raw,ST_raw,ST_raw_conf,ST_bounded,ST_bounded_conf,ST_change_bounded_minus_raw,S1_rank_raw,S1_rank_bounded,ST_rank_raw,ST_rank_bounded
trait_resolved,MS,0.000658369558710883,0.0048669420356431,0.0037277200432666024,0.005789642193364525,0.0030693504845557195,0.010445479205539055,0.002981820138814458,0.03114756151468381,0.0023806189764727505,0.020702082309144755,6.0,7.0,5.0,4.0
trait_resolved,GS,0.09353622259146804,0.030148900679341534,0.19279547996334093,0.013555917499932044,0.09925925737187288,0.4097920316634899,0.0611187381887671,0.2985517224071679,0.01112734043547535,-0.111240309256322,2.0,2.0,2.0,2.0
trait_resolved,S,0.389563133224805,0.09795473123986251,0.499471805460174,0.02010078627838975,0.10990867223536899,0.8088579130344293,0.09897445931421896,0.6170125613745838,0.01657947134148659,-0.1918453516598455,1.0,1.0,1.0,1.0
trait_resolved,cB,0.0005537552613489491,0.001292443438401012,0.001761574589796962,0.002990082029282007,0.0012078193284480129,0.003293202422104961,0.001457611932232048,0.007573246077948733,0.0006958526873702152,0.004280043655843772,7.0,9.0,9.0,9.0
trait_resolved,MGP,0.0004674390022123435,0.004697445639712189,0.009641360974834253,0.005377778829125731,0.00917392197262191,0.010051092241706718,0.003132136499719831,0.02523710996742634,0.0021924054984020017,0.015186017725719623,8.0,5.0,6.0,6.0
trait_resolved,MGN,-0.0013260212884232247,0.0025229865536872944,0.0016418125789338285,0.0020617634084248875,0.002967833867357053,0.0026197098630557124,0.0008888540070086145,0.004855384612859798,0.0005513797251792739,0.002235674749804086,10.0,10.0,10.0,10.0
trait_resolved,fGP,0.0017527346713523486,0.0021692559436564795,0.006320589286455081,0.003941614152637644,0.004567854615102732,0.00600698855892634,0.0019451982772796979,0.019593578351540433,0.0018397487276023273,0.013586589792614092,5.0,6.0,7.0,7.0
trait_resolved,cF,0.00794947125211408,0.005081565798892343,0.011806398080118007,0.005422527652191231,0.0038569268280039277,0.051454933253108445,0.01168734272537889,0.029492086594183113,0.0017800249896827512,-0.021962846658925332,4.0,4.0,4.0,5.0
trait_resolved,GF,0.06377151745164529,0.01932829606102132,0.1159140246860757,0.012954836506011778,0.05214250723443041,0.34680191288871615,0.07056913012957493,0.203026947608669,0.008754997029636821,-0.14377496528004716,3.0,3.0,3.0,3.0
trait_resolved,rB,-6.0651871122953787e-05,0.0026989552329339805,0.0030489444866357617,0.003214470651950584,0.0031095963577587155,0.0042658772371485035,0.001079399729645549,0.00955074928795951,0.0011098340697763573,0.005284872050811006,9.0,8.0,8.0,8.0
