metric,value
analysis,CFF
n_base,4096
n_model_evaluations,16384
seed,1234
CFF_min,3.2700645226385983
CFF_mean,19.0132545440187
CFF_median,14.156297494549374
CFF_sd,14.236839800885532
CFF_p90,40.545632594754075
CFF_p95,49.557710330955196
CFF_p99,63.97889961383742
CFF_p995,67.55222154342916
CFF_max,76.93097749587236
