formulation,parameter,S1,S1_conf,ST,ST_conf,S1_rank,ST_rank,S_design
Composite,MS,0.005359298073906275,0.005038955204092215,0.015402201606842735,0.0035378715179931013,4,4,Primary: observed S range
Composite,GS,0.09899684057747163,0.02515866471403486,0.37222547121640454,0.06740100849525742,2,2,Primary: observed S range
Composite,S,0.5317203073369797,0.09298101811223981,0.8866924567017581,0.10428764260669651,1,1,Primary: observed S range
Composite,CFB,0.0021661745392807788,0.0034982409106422982,0.008788409687642808,0.002264414654884638,5,5,Primary: observed S range
Composite,CFF,0.05675566497315913,0.01632637848159143,0.21976573201847704,0.03429144956200618,3,3,Primary: observed S range
Composite,MS,0.012288021415863725,0.006643271953097876,0.020412838843782265,0.0026281647865334453,4,4,Robustness: S P10-P90
Composite,GS,0.26110565751503123,0.038416273748461044,0.4721544023781189,0.04536284090349301,2,2,Robustness: S P10-P90
Composite,S,0.30371916929915377,0.03518855209000076,0.504178430767184,0.049053484718111176,1,1,Robustness: S P10-P90
Composite,CFB,0.0043311912634087,0.005034430220589929,0.011062912432920622,0.0016653487935299463,5,5,Robustness: S P10-P90
Composite,CFF,0.15470862095330265,0.022406447508686617,0.3080752677726422,0.034640416560845204,3,3,Robustness: S P10-P90
