formulation,S_design,S_min,S_max,output_median,output_variance,prop_fnecC_gt_100,S_empirical_P10,S_empirical_P90
Composite,Primary: observed S range,1.4096649612518737,243.35726351650612,49.53539114324427,43484.32648880365,0.2918178013392857,6.627800000000001,59.2
Composite,Robustness: S P10-P90,6.629681267983927,59.17702973122721,49.60861304764092,7627.263673058555,0.23587472098214285,6.627800000000001,59.2
Trait-resolved,Primary: observed S range,1.4080413600092045,267.71209901196926,45.683825671269354,67163.31490337205,0.282379150390625,6.627800000000001,59.2
Trait-resolved,Robustness: S P10-P90,6.628558456769976,59.190272168145064,45.30403316097748,11565.986554607623,0.23500569661458334,6.627800000000001,59.2
