Model,Units,N,Min,Q1,Median,Q3,Max,Mean,SD
CFB,g C g MurA^-1,50000,7.143743508613912,27.111945663653223,42.780551256461294,67.73014881624431,453.0179171070055,53.001819953894966,37.59766227251255
CFF,g C g GlcN^-1,50000,3.268803466488321,8.13872427533808,14.124468138721415,25.78625700287514,77.55548947510326,19.01543875783292,14.250761611235768
NF,mg C g soil^-1,50000,0.0,2.3618412267373663,6.259755271512699,14.139200822086165,137.99257764881563,11.40837866277962,14.860887748366878
fnecC composite,% SOC,50000,0.853095608511346,23.66044630960386,54.8612263274577,134.91460085160864,10197.65950127963,134.099312588311,258.05356655487867
fnecC trait-resolved,% SOC,50000,0.7221683312296102,20.61879807184501,50.00078896495089,127.40799037008995,8272.167701297698,131.8815328427205,269.423932157273
